ID,Name,ProductType,BrandID,OldPrice,CurrentPrice,DiscountPercent,GiftValue,ProductLink
123,Xiaomi 14T 5G 12GB/512GB XanhMẫu mới,Laptop,14,,13990000.0,,1000000.0,https://www.thegioididong.com/dtdd/xiaomi-14t-5g-12gb-512gb-xanh
124,Xiaomi 14T 5GMẫu mới,Laptop,14,,12990000.0,,1000000.0,https://www.thegioididong.com/dtdd/xiaomi-14t-5g
125,Xiaomi 14T Pro 5GMẫu mới,Laptop,14,,16990000.0,,1500000.0,https://www.thegioididong.com/dtdd/xiaomi-14t-pro-5g-12gb-256gb
126,Xiaomi POCO ,Laptop,14,4290000.0,3890000.0,9.32,,https://www.thegioididong.com/dtdd/xiaomi-poco-m6?utm_flashsale=1
127,Xiaomi Redmi 13,Laptop,14,,4290000.0,,200000.0,https://www.thegioididong.com/dtdd/xiaomi-redmi-13-6gb-128gb
128,Xiaomi Redmi 14C,Laptop,14,3690000.0,3490000.0,5.42,,https://www.thegioididong.com/dtdd/xiaomi-redmi-14c-6gb-128gb?utm_flashsale=1
129,Xiaomi Redmi A3,Laptop,14,,2490000.0,,100000.0,https://www.thegioididong.com/dtdd/xiaomi-redmi-a3?utm_flashsale=1
130,Xiaomi Redmi Note 13,Laptop,14,5290000.0,4690000.0,11.34,,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13
131,Xiaomi Redmi Note 13 Pro,Laptop,14,7290000.0,6490000.0,10.97,,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13-pro
132,Xiaomi Redmi Note 13 Pro 5G,Laptop,14,9490000.0,8490000.0,10.54,,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13-pro-5g
133,iPhone 11,Laptop,15,11790000.0,8990000.0,23.75,,https://www.thegioididong.com/dtdd/iphone-11
134,iPhone 12,Laptop,15,13090000.0,11590000.0,11.46,,https://www.thegioididong.com/dtdd/iphone-12
135,iPhone 13,Laptop,15,17790000.0,13590000.0,23.61,,https://www.thegioididong.com/dtdd/iphone-13
136,iPhone 14,Laptop,15,19090000.0,17390000.0,8.91,,https://www.thegioididong.com/dtdd/iphone-14
137,iPhone 14 Plus,Laptop,15,22290000.0,20090000.0,9.87,,https://www.thegioididong.com/dtdd/iphone-14-plus
138,iPhone 15,Laptop,15,22990000.0,19790000.0,13.92,,https://www.thegioididong.com/dtdd/iphone-15
