name,brand,ram,ssd,old_price,current_price,gift,total_rating,avg_score,link
MacBook Air 13 inch M2 10GPU,MacBook,RAM 16 GB,SSD 256 GB,,29.990.000₫,Quà500.000₫,0,0.0,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022-16gb-256gb-10gpu
HP Gaming VICTUS 16 r0227TX i5 13500H (9Q978PA),HP,RAM 32 GB,SSD 512 GB,34.890.000₫,29.490.000₫,Quà4.080.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-victus-16-r0227tx-i5-9q978pa
Lenovo LOQ 15IRX9 i7 13650HX (83DV00D5VN),Lenovo,RAM 16 GB,SSD 512 GB,32.990.000₫,29.490.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-loq-15irx9-i7-83dv00d5vn
Lenovo ThinkPad E14 Gen 6 Ultra 7 155U (21M7004UVN),Lenovo,RAM 16 GB,SSD 512 GB,,28.790.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-thinkpad-e14-ultra-7-21m7004uvn
MacBook Air 13 inch M3,MacBook,RAM 8 GB,SSD 256 GB,,27.990.000₫,Quà500.000₫,0,0.0,https://www.thegioididong.com/laptop/macbook-air-13-inch-m3-2024
HP Envy x360 14 fc0094TU Ultra 5 125U (A19C4PA),HP,RAM 16 GB,SSD 512 GB,29.490.000₫,27.990.000₫,Quà4.920.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-envy-x360-14-fc0094tu-ultra-5-a19c4pa
MSI Cyborg 15 A13VFK i7 13620H (876VN),MSI,RAM 16 GB,SSD 512 GB,29.990.000₫,27.990.000₫,Quà990.000₫,0,0.0,https://www.thegioididong.com/laptop/msi-cyborg-15-a13vfk-i7-876vn
HP Gaming VICTUS 16 r0228TX i5 13500H (9Q979PA),HP,RAM 32 GB,SSD 512 GB,33.290.000₫,27.890.000₫,Quà4.080.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-victus-16-r0228tx-i5-9q979pa
Acer Gaming Nitro 5 Tiger AN515 58 773Y i7 12700H (NH.QFKSV.001),Acer,RAM 8 GB,SSD 512 GB,31.990.000₫,26.990.000₫,Quà1.890.000₫,26,5.0,https://www.thegioididong.com/laptop/acer-nitro-5-tiger-an515-58-773y-i7-nhqfksv001
Dell Inspiron 14 5430 i5 1340P (N5430-i5P165W11SL2050),Dell,RAM 16 GB,SSD 512 GB,29.790.000₫,26.990.000₫,Quà100.000₫,0,0.0,https://www.thegioididong.com/laptop/dell-inspiron-14-5430-i5-i5p165w11sl2050
Lenovo Gaming LOQ 15ARP9 R7 7435HS (83JC0040VN),Lenovo,RAM 24 GB,SSD 512 GB,29.490.000₫,26.990.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-loq-15arp9-r7-83jc0040vn
Asus Zenbook 14 OLED UX3402VA i7 1360P (KM068W),Asus,RAM 16 GB,SSD 512 GB,31.990.000₫,26.490.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/asus-zenbook-14-oled-ux3402va-i7-km068w
HP Pavilion X360 14 ek2027TU Core 7 150U (9Z2V9PA),HP,RAM 16 GB,SSD 512 GB,28.290.000₫,26.490.000₫,Quà3.530.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek2027tu-core-7-9z2v9pa
Lenovo Ideapad Slim 5 14IMH9 Ultra 7 155H (83DA001YVN),Lenovo,RAM 32 GB,SSD 512 GB,27.690.000₫,26.190.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-14imh9-ultra-7-83da001yvn
HP Gaming VICTUS 16 r0128TX i5 13450HX (8C5N3PA),HP,RAM 16 GB,SSD 512 GB,31.690.000₫,25.990.000₫,Quà3.280.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-gaming-victus-16-r0128tx-i5-8c5n3pa
MSI Gaming Cyborg 14 A13VE i7 13620H (090VN),MSI,RAM 16 GB,SSD 512 GB,27.990.000₫,25.990.000₫,Quà990.000₫,0,0.0,https://www.thegioididong.com/laptop/msi-cyborg-14-a13ve-i7-090vn
HP Elitebook 630 G10 i7 1355U (9J0B7PT),HP,RAM 16 GB,SSD 512 GB,28.590.000₫,25.790.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-elitebook-630-g10-i7-9j0b7pt
HP Probook 450 G10 i7 1355U (873D3PA),HP,RAM 16 GB,SSD 512 GB,26.990.000₫,24.990.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-probook-450-g10-i7-873d3pa
HP Elitebook 630 G10 i7 1355U (9H1N9PT),HP,RAM 16 GB,SSD 512 GB,27.790.000₫,24.990.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-elitebook-630-g10-i7-9h1n9pt
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS00D9VN),Lenovo,RAM 24 GB,SSD 512 GB,25.490.000₫,24.490.000₫,Quà990.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-loq-15iax9-i5-83gs00d9vn
HP Pavilion 15 eg3035TX i7 1355U (8U6L7PA),HP,RAM 16 GB,SSD 512 GB,26.590.000₫,23.990.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3035tx-i7-8u6l7pa?utm_flashsale=1
HP Pavilion X360 14 ek2024TU Core 5 120U (9Z2V6PA),HP,RAM 16 GB,SSD 512 GB,24.990.000₫,23.490.000₫,Quà3.530.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek2024tu-core-5-9z2v6pa
Lenovo ThinkBook 16 G7 Ultra 5 125U (21MS007GVN),Lenovo,RAM 16 GB,SSD 512 GB,,23.190.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-thinkbook-16-g7-ultra-5-21ms007gvn
HP Gaming VICTUS 16 s0078AX R5 7640HS (8C5N7PA),HP,RAM 16 GB,SSD 512 GB,27.390.000₫,22.990.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-victus-16-s0078ax-r5-8c5n7pa?utm_flashsale=1
Lenovo Ideapad Slim 5 16IMH9 Ultra 5 125H (83DC001RVN),Lenovo,RAM 16 GB,SSD 512 GB,23.690.000₫,22.690.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-16imh9-ultra-5-83dc001rvn
HP Elitebook 630 G10 i5 1335U (9J0B5PT),HP,RAM 16 GB,SSD 512 GB,24.390.000₫,22.290.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-elitebook-630-g10-i5-9j0b5pt
Lenovo IdeaPad Slim 5 14IMH9 Ultra 5 125H (83DA001NVN),Lenovo,RAM 16 GB,SSD 512 GB,22.690.000₫,21.890.000₫,Quà990.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-14imh9-ultra-5-83da001nvn
Lenovo Ideapad 5 Pro 14IAP7 i7 1260P (82SH002SVN),Lenovo,RAM 16 GB,SSD 512 GB,27.990.000₫,20.990.000₫,Quà1.090.000₫,10,4.0,https://www.thegioididong.com/laptop/lenovo-ideapad-5-pro-14iap7-i7-82sh002svn
Dell Inspiron 16 5630 i5 1335U (71020244),Dell,RAM 8 GB,SSD 512 GB,22.990.000₫,20.990.000₫,Quà100.000₫,0,0.0,https://www.thegioididong.com/laptop/dell-inspiron-16-5630-i5-71020244
Dell Inspiron 15 3530 i7 1355U (71026454),Dell,RAM 16 GB,SSD 512 GB,22.390.000₫,20.990.000₫,Quà100.000₫,0,0.0,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-71026454
HP Probook 450 G10 i5 1335U (873D1PA),HP,RAM 16 GB,SSD 512 GB,22.590.000₫,20.290.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-probook-450-g10-i5-873d1pa
HP Pavilion 15 eg2034TX i7 1255U (6K780PA),HP,RAM 8 GB,SSD 512 GB,24.590.000₫,19.490.000₫,Quà1.090.000₫,13,4.0,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2034tx-i7-6k780pa?utm_flashsale=1
MSI Gaming Katana GF66 12UCK i7 12650H (804VN),MSI,RAM 8 GB,SSD 512 GB,27.490.000₫,18.990.000₫,Quà990.000₫,3,4.0,https://www.thegioididong.com/laptop/msi-gaming-gf66-12uck-i7-804vn
Dell Vostro 14 3430 i5 1335U (60YGM),Dell,RAM 8 GB,SSD 512 GB,19.990.000₫,18.490.000₫,Quà100.000₫,0,0.0,https://www.thegioididong.com/laptop/dell-vostro-3430-i5-60ygm
Dell Inspiron 15 3530 i5 1335U (N5I5007W1),Dell,RAM 16 GB,SSD 512 GB,19.990.000₫,18.490.000₫,Quà100.000₫,0,0.0,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-n5i5007w1
Dell Inspiron 15 3530 i5 1334U (N5I5340W1),Dell,RAM 16 GB,SSD 512 GB,19.990.000₫,18.490.000₫,Quà100.000₫,0,0.0,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-n5i5340w1
HP Pavilion 15 eg3094TU i5 1335U (8C5L5PA),HP,RAM 8 GB,SSD 512 GB,19.990.000₫,17.990.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3094tu-i5-8c5l5pa?utm_flashsale=1
HP Probook 450 G9 i5 1235U (6M0Y9PA),HP,RAM 8 GB,SSD 512 GB,21.290.000₫,18.490.000₫,Quà1.090.000₫,16,4.0,https://www.thegioididong.com/laptop/hp-probook-450-g9-i5-6m0y9pa?utm_flashsale=1
Lenovo Ideapad Slim 3 15ABR8 R7 7730U (82XM00EHVN),Lenovo,RAM 16 GB,SSD 512 GB,16.390.000₫,15.390.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15abr8-r7-82xm00ehvn
HP Pavilion 15 eg2085TU i5 1240P (7C0Q7PA),HP,RAM 8 GB,SSD 256 GB,18.790.000₫,14.490.000₫,Quà1.090.000₫,16,4.0,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2085tu-i5-7c0q7pa?utm_flashsale=1
Dell Vostro 15 3530 i3 1305U (V5I3465W1),Dell,RAM 8 GB,SSD 512 GB,14.190.000₫,13.990.000₫,Quà100.000₫,0,0.0,https://www.thegioididong.com/laptop/dell-vostro-15-3530-i3-v5i3465w1
Asus Vivobook 14 A1405VA i3 1315U (LY097W),Asus,RAM 8 GB,SSD 512 GB,14.990.000₫,12.490.000₫,Quà1.090.000₫,8,5.0,https://www.thegioididong.com/laptop/asus-vivobook-14-a1405va-i3-ly097w
HP Pavilion 15 eg3098TU i3 1315U (8C5L9PA),HP,RAM 8 GB,SSD 256 GB,15.290.000₫,13.390.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3098tu-i3-8c5l9pa?utm_flashsale=1
Lenovo Ideapad 3 15IAU7 i3 1215U (82RK015AVN),Lenovo,RAM 16 GB,SSD 512 GB,13.390.000₫,12.390.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15iau7-i3-82rk015avn
