name,brand,screen,old_price,current_price,gift,total_rating,avg_score,link
Samsung Galaxy M15 5G,Samsung,"Full HD+ 6.5""",,4.690.000₫,,0,0.0,https://www.thegioididong.com/dtdd/samsung-galaxy-m15-5g-4gb
Tecno Spark Go 2024 3GB/64GB,Tecno,"HD+ 6.56""",,1.890.000₫,,0,0.0,https://www.thegioididong.com/dtdd/tecno-spark-go-2024
Nokia 105,Nokia,"QQVGA 1.8""",,610.000₫,,0,0.0,https://www.thegioididong.com/dtdd/nokia-105-4g
OPPO A79 5G 8GB/256GB,OPPO,"Full HD+ 6.72""",,7.490.000₫,,0,0.0,https://www.thegioididong.com/dtdd/oppo-a79-5g
OPPO A78 8GB/256GB,OPPO,"Full HD+ 6.43""",,6.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/oppo-a78
vivo Y03T 4GB/128GB,vivo,"HD+ 6.56""",,3.290.000₫,,0,0.0,https://www.thegioididong.com/dtdd/vivo-y03t-4gb-128gb
Xiaomi POCO M6 6GB/128GB,Xiaomi,"Full HD+ 6.79""",4.290.000₫,3.890.000₫,,0,0.0,https://www.thegioididong.com/dtdd/xiaomi-poco-m6?utm_flashsale=1
Mobell Rock 4 4G,Mobell,"QVGA 2.4""",,790.000₫,,0,0.0,https://www.thegioididong.com/dtdd/mobell-rock-4
Mobell F309 4G,Mobell,"QVGA 2.31""",,760.000₫,,0,0.0,https://www.thegioididong.com/dtdd/mobell-f309
OPPO Find N3 Flip 5G 12GB/256GB Đen/Vàng đồng,OPPO,"Full HD+ Chính 6.8"" & Phụ 3.26""",,22.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/oppo-find-n3-flip
Xiaomi 14 Ultra 5G 16GB/512GB,Xiaomi,"Quad HD+ (2K+) 6.73""",32.990.000₫,29.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/xiaomi-14-ultra
realme C60 4GB/64GB,realme,"HD+ 6.74""",,2.790.000₫,,0,0.0,https://www.thegioididong.com/dtdd/realme-c60
Mobell M539 4G,Mobell,"QVGA 2.8""",,700.000₫,,0,0.0,https://www.thegioididong.com/dtdd/mobell-m539
realme 13+ 5GMẫu mới,realme,"Full HD+ 6.67""",9.490.000₫,9.290.000₫,,0,0.0,https://www.thegioididong.com/dtdd/realme-13-plus-5g-8gb-256gb
Itel it2600,Itel,"QVGA 2""",,490.000₫,,0,0.0,https://www.thegioididong.com/dtdd/itel-it2600
HONOR 200 5G,HONOR,"1.5K 6.7""",12.990.000₫,12.490.000₫,,0,0.0,https://www.thegioididong.com/dtdd/honor-200-12gb-256gb
realme C61,realme,"HD+ 6.745 """,,3.590.000₫,,0,0.0,https://www.thegioididong.com/dtdd/realme-c61-4gb-128gb
OPPO Find N3 5G 16GB/512GB,OPPO,"Quad HD+ (2K+) Chính 7.82"" & Phụ 6.31""",44.990.000₫,41.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/oppo-find-n3
Mobell M331 4G,Mobell,"QVGA 2.4""",,550.000₫,,0,0.0,https://www.thegioididong.com/dtdd/mobell-m331
ASUS Zenfone Max M2,Asus (Zenfone),"HD+ 6.26""",,,,0,0.0,https://www.thegioididong.com/dtdd/asus-zenfone-max-m2
OPPO Find X8,OPPO,,,,,0,0.0,https://www.thegioididong.com/dtdd/oppo-find-x8
OPPO Find X8 Pro,OPPO,,,,,0,0.0,https://www.thegioididong.com/dtdd/oppo-find-x8-pro
HONOR 90 5G 12GB/256GB,HONOR,"1.5K 6.7""",,,,0,0.0,https://www.thegioididong.com/dtdd/honor-90
HONOR X6a 4GB/128GB,HONOR,"HD+ 6.56""",,,,0,0.0,https://www.thegioididong.com/dtdd/honor-x6a
